name,uid,code,parent,shortname,description,openingdate,closedate,comment,featuretype,coordinates,url,contactperson,address,email,phonenumber
Gitogoto Dispensary,xIrVFUsVLbR,20563,vGpXQ5hFNmS,Gitogoto Dispensary,,NA,NA,OPERATIONAL,POINT,"[37.56244,-0.36445]",,NA,NA,NA,NA
Kiplabotwa Dispensary,gapioc0sHND,18525,dDmN1rie0ij,kiplabotwa Dispensary,NEAR MULOT TOWN,NA,NA,,POINT,"[35.28454,-0.54779]",,NA,NA,NA,NA
Thigingi Community Unit,isEuaS9fQQP,,Rvc83wul8dL,Thigingi C.U,,NA,NA,,NONE,,,NA,NA,NA,NA
Njeruri Dispensary,uEKN21efXUz,17367,QRBxWEQZUpe,Njeruri Dispensary,,NA,NA,,POINT,"[37.56854,-0.39042]",,NA,NA,NA,NA
Kiharo Community Unit,pj2ZC5sYgVw,,bLeCBUFM3wP,Kiharo C.U,,NA,NA,,NONE,,,NA,NA,NA,NA
Kirie Mission Clinic,eD8gvdqzIty,12334,HpGxgPszuYN,Kirie Mission Clinic,FBO,NA,NA,,POINT,"[37.78084,-0.57953]",,NA,NA,NA,NA
Muthanthara Dispensary,egwIfdre3CW,12590,LlyKi6c8KbT,Muthanthara Dispensary,,NA,NA,,POINT,"[37.89736,-0.43183]",,NA,NA,NA,NA
Marimanti Communinty Unity,S3kwTvVEakf,602302,IcAegRcGuV6,MCU,,NA,NA,,NONE,,,NA,NA,NA,NA
Ebenezer Health Care Dispensary,sShGas9CHLY,20179,NTHccL0KJ5j,Ebenezer Health Care Dispensary,,NA,NA,,NONE,,,NA,NA,NA,NA
Nerkwo Dispensary,GXTDLT02Dc5,15333,aMEeDm5knkx,Nerkwo Dispensary,,NA,NA,,POINT,"[35.50988,0.91471]",,NA,NA,NA,NA
Njaina Dispensary,tKKEknqYVmv,,UQd8QPTpVD0,Njaina Dispensary,,NA,NA,,POINT,"[37.67657,-0.31074]",,NA,NA,NA,NA
Kaare Dispensary,vjX2moFDHOH,12120,VOpqnQgC8om,Kaare Dispensary,,NA,NA,,POINT,"[37.793174,-0.183226]",,NA,NA,NA,NA
Kagochi Community Unit,cQqSA3WunSl,,QSBdWpfSrPb,Kagochi C.U,,NA,NA,,NONE,,,NA,NA,NA,NA
Kairiki Community Unit,eFyqM1LRK8v,,p0seYVywjgP,Kairiki C.U,,NA,NA,,NONE,,,NA,NA,NA,NA
Gathaithini Community Unit,ZizriVjRY9K,,fyiHrh4tOpQ,Gathaithini c.u,linked to Kiamabara h/c in Konyu ward,NA,NA,,NONE,,,NA,NA,NA,NA
Gatura Community Unit,Wifqa134RXd,,dmB6X6o04Qp,Gatura C.U,,NA,NA,,NONE,,,NA,NA,NA,NA
Thaithi Community Unit,Hwg9Lb5jZ0Q,,wuwDByjSR8s,Thaithi CU,,NA,NA,,NONE,,,NA,NA,NA,NA
Aga Khan Medical Centre Kericho,U8sl0OVOZty,20176,H7KO7IjHYfk,Aga Khan Medical Centre Kericho,Ushma Plaza Hospital Road,NA,NA,,POINT,"[35.28087,-0.37218]",,NA,NA,NA,NA
Queen of Peace Clinic,snOPNFSg0Wy,16758,fxLikKorklY,Queen of Peace Clinic,,NA,NA,,POINT,"[36.9501,-1.08449]",,NA,NA,NA,NA
Shibembe Community Health Unit,kDvApyEJTwC,600620,Jq3sWm3tMJy,Shibembe CHU,Community Unit,NA,NA,,NONE,"[34.45262,0.1604]",,NA,NA,NA,NA
Benard Vision Medicl Center,VAA6fTZov9f,22553,LX2KPfCBef4,Benard Vision Medicl Center,,NA,NA,,NONE,"[34.6298439,-0.4756561]",,NA,NA,NA,NA
Aski Medical Clinic,m2Sc53M2fCg,12873,ETN4UDiD5y5,Aski Medical Clinic,,NA,NA,Operational,POINT,"[36.92215,-1.26552]",,NA,NA,NA,NA
Hakati Medical Clinic,ONAdqxYAumV,12967,ivNrlSMRNra,Hakati Medical Clinic,,NA,NA,,POINT,"[36.9336,-1.32065]",,NA,NA,NA,NA
Kapkures Dispensary (Nakuru Central),BsRAEfmFfM3,14733,pZuA4cJd4bl,Kapkures Disp (Nakuru Cen,,NA,NA,,POINT,"[36.0232,-0.18642]",,NA,NA,NA,NA
Drop In Service Center Learning Site,yEgTXDKNOGK,20059,I1ioJIBPdpG,Drop In Service Center Learning Site,,NA,NA,,POINT,"[39.66703,-4.06221]",,NA,NA,NA,NA
Lokori (AIC) Health Centre,riVaDMbSHNv,15064,AY46zJ3BT9H,Lokori (AIC) Health Centr,,NA,NA,,POINT,"[35.9645,1.96004]",,NA,NA,NA,NA
Siakago Clinic,Ts1jDUorGyc,12733,tGtfKyhl0y1,Siakago Clinic,,NA,NA,,POINT,"[37.6418,-0.58005]",,NA,NA,NA,NA
Nangweya Medical Clinic,iZRuSincnSs,,I1ioJIBPdpG,Nangweya Medical Clinic,Medical Clinic,NA,NA,,NONE,,,NA,NA,NA,NA
Penta Flowers Dispensary (Ndarugu),QB0BVJnx85e,,WsPnZQHN2CZ,Penta Flowers Dispensary,,NA,NA,,NONE,,,NA,NA,NA,NA
Kabianga Community Unit,oLGkChOCoSo,701137,ebuf0Ix1pYu,Kabianga,,NA,NA,,NONE,,,NA,NA,NA,NA
Ndoinet Community Unit,eG6f3xY6tkY,701145,PxtZobnR8GD,Ndoinet,,NA,NA,,NONE,,,NA,NA,NA,NA
Kiptororo Community Unit,eY8ECJOtxZ5,701146,N33O5RbSwJs,Kiptororo,,NA,NA,,NONE,,,NA,NA,NA,NA
Ikumbi Community Unit,JiRELPyMCgv,701147,Y9rLWFzWrme,Ikumbi CHU,,NA,NA,,NONE,,,NA,NA,NA,NA
Seguton Community Unit,tboHma9btOl,701149,cTUAph4vjQ9,Seguton,,NA,NA,,NONE,,,NA,NA,NA,NA
Masaita Community Unit,nXvI5uNgVoO,701150,KXFxZXyY02o,Masaita,,NA,NA,,NONE,,,NA,NA,NA,NA
Gsu Training School,DWLpIjoOcan,12962,GwVllI2Zdfe,GSU Training School,,NA,NA,Operational,NONE,"[36.95309,-1.29032]",,NA,NA,NA,NA
Imara Medical Clinic,tX45wOtLw5K,12981,Nt7PPe0Vdou,Imara Medical Clinic,,NA,NA,Operational,POINT,,,NA,NA,NA,NA
Pipeline Nursing Home,apKYnsMHEmX,12978,vjOR4Xpi2TY,Pipeline Nursing Home,,NA,NA,Operational,NONE,"[36.8865,-1.31699]",,NA,NA,NA,NA
Mwatate Health Care Centre,gHbligMG9MS,19454,raV5YKTRCG2,Mwatate Tassia,,NA,NA,,POINT,"[36.8925,-1.36091]",,NA,NA,NA,NA
Bwake Dispensay,MAr6ufpvzAN,22601,OrWMyDLtm7r,Bwake,,NA,NA,,NONE,"[35.19998,1.0404933]",,NA,NA,NA,NA
Kipkeikei Dispensary,t8mzOrmQUgY,14895,OrWMyDLtm7r,Kipkeikei Dispensary,,NA,NA,,POINT,"[35.2093,1.01374]",,NA,NA,NA,NA
Kenol Hospital,RgYDrx3O3uZ,10512,D8f8vrysA4J,Kenol Hospital,,NA,NA,,POINT,"[37.12638,-0.9372]",,NA,NA,NA,NA
Mwambui/Ikuusya Community Health Unit,HBRrE9sqwNc,,wW1Dk31v6BI,Mwambui/Ikuusya Community Health Unit,,NA,NA,,NONE,"[38.35405,-0.7478]",,NA,NA,NA,NA
GINGO COMMUNITY,XWvfQ69Rn10,22590,zwpctzVflwm,GINGO COMMUNITY,NEXT TO GINGO MARKET,NA,NA,,NONE,"[34.1686633,-0.487575]",,NA,NA,NA,NA
Yalatani  Community Health Unit,DpxaiYBtU1p,,cmWAJB5kCDW,Yalatani  Community Health Unit,Within Mutonguni Ward,NA,NA,,NONE,"[38.032858,-1.173334]",,NA,NA,NA,NA
Kalimoni Mission Hospital (Juja),JeuBdNUUREJ,10438,Cqn7anNruE5,Kalimoni Mission Hospital,,NA,NA,,POINT,"[37.01975,-1.11605]",,NA,NA,NA,NA
Ngiluni Community Health Unity,XAqnXqzirCB,701135,nl69oAwGv8E,Ngiluni Community Health UNITY,,NA,NA,,NONE,"[38.21242,-1.12214]",,NA,NA,NA,NA
ST.JEROME,opa2rAXtfPD,,UQd8QPTpVD0,ST.JEROME,,NA,NA,,NONE,,,NA,NA,NA,NA
Cfw Cheera,RdgmQnLcuLS,,mr7zhcDiR5h,Cfw Cheera,,NA,NA,,NONE,,,NA,NA,NA,NA
Mwangulu Community Health Unit,DvKyBjOLWk7,601863,VVcbqmCinwl,Mwangulu CHU,Cu,NA,NA,,POINT,"[39.0134,-4.40954]",,NA,NA,NA,NA
Cfw Kiracha,wVALt70V1L5,18881,vGpXQ5hFNmS,CFW Kiracha,,NA,NA,,POINT,"[37.61115,-0.38364]",,NA,NA,NA,NA
Yumbu/Itiko Community Health Unit,v4SR3FM7obg,701082,CnHaXmRzuF9,Yumbu/Itiko Community Health Unit,,NA,NA,,NONE,"[38.26676,-0.93088]",,NA,NA,NA,NA
Muchonoke Dispensary,q7MBM31M4vy,18269,tGtfKyhl0y1,Muchonoke Dispensary,,NA,NA,operational,POINT,"[37.81411,-0.54105]",,NA,NA,NA,NA
Kamarandi Dispensary,DmkrFYToUwc,18775,rZ0Io1sU38M,Kamarandi Dispensary,Dispensary,NA,NA,OPERATIONAL,POINT,"[37.89853,-0.36862]",,NA,NA,NA,NA
Hope World Wide Kenya Mukuru Clinic,EEgdQUWsTLK,17684,HvcGWkiIxjp,Hope World Wide Kenya Mukuru Clinic,,NA,NA,,NONE,"[36.87128,-1.31417]",,NA,NA,NA,NA
Nyangoma Health Centre(Inactive ),ISneFj4pIh2,,FFfi4zTqdH2,Nyangoma Health Centre(inactive),,NA,NA,,NONE,,,NA,NA,NA,NA
Lodokejek Ward,PRuQd7VjO3x,,EmQRGVtvWy3,Lodokejek Ward,,NA,NA,,NONE,,,NA,NA,NA,NA
Kaani Dispensary,crSbiV0rS0m,12118,uRN4WDLAPSP,Kaani Dispensary,,NA,NA,,POINT,"[37.35348,-1.51621]",,NA,NA,NA,NA
Mwambiu Community Health Unit,lUllsS2GaNn,701117,mMwrlllQqsC,Mwambiu Community Health Unit,,NA,NA,,NONE,"[38.35405,-1.12007]",,NA,NA,NA,NA
Nairobi West Chidren Clinic,lcqEc8aoYJE,13114,uPv6CYD6np2,Nairobi West Chidren clin,,NA,NA,,POINT,"[36.81907,-1.31323]",,NA,NA,NA,NA
New Life Home Childrens Home,ylArFd0Lgc6,13120,yXbOIljEz90,New Life Home Childrens Home,,NA,NA,,POINT,"[36.78707,-1.29017]",,NA,NA,NA,NA
Wema Cfw Clinic,GkXVioI1OEd,13255,dYniZG1Q7Tk,Wema CFW clinic,,NA,NA,Closed to pave way for the southern bypass.,POINT,"[36.77825,-1.31794]",,NA,NA,NA,NA
Neema Ya Yesu Clinic,EKZrqdnJYaR,17456,uPv6CYD6np2,Neema Ya Yesu Clinic,,NA,NA,"The facility is re-opened in April 2012
Facility was closed down again in June 2012",POINT,"[36.79861,-1.31847]",,NA,NA,NA,NA
Ngungi Community Health Unit,VOYr3po8APl,701125,USnXsKaOa23,Ngungi Community Health Unit,,NA,NA,,NONE,"[38.21821,-1.03564]",,NA,NA,NA,NA
Gitaru Clinic,wzU1yjuhIQp,12040,CMHN2XMxdY9,Gitaru Clinic,clinic,NA,NA,,POINT,"[37.64917,-0.77136]",,NA,NA,NA,NA
Mathyakani Community Health Unit,kE7YD5mYFhD,701087,Hk4RzoagEQy,Mathyakani Community Health Unit,,NA,NA,,NONE,"[38.32846,-0.85764]",,NA,NA,NA,NA
Nyanyaa Community Health Unit,uIEn6hZoMmJ,701130,x9P3yE4K4qt,Nyanyaa Community Health Unit,,NA,NA,,NONE,"[38.05235,-0.7478]",,NA,NA,NA,NA
Waita Community Health Unity,NybaobjX9fB,701133,wW1Dk31v6BI,Waita Community Health Unity,,NA,NA,,NONE,"[38.09442,-0.78026]",,NA,NA,NA,NA
Godo Community Health Unit,snnwWrb3dPe,602752,qBmMdCCXus8,Godo CHU,Cu,NA,NA,,POINT,"[39.57947,-4.27116]",,NA,NA,NA,NA
Makutano Community Health Unit,L9O4LFq7XrL,,qBmMdCCXus8,Makutano CHU,,NA,NA,,NONE,,,NA,NA,NA,NA
Mtumwa Community Health Unit,AlInSWGH0ZG,602757,S6X2QNJUj2g,Mtumwa CHU,Cu,NA,NA,,POINT,"[39.53,-4.29503]",,NA,NA,NA,NA
Bethsaida (AIC) Clinic (Nakuru),P97vatycAS3,14251,lTh2MSvx02l,Bethsaida Clinic (Nakuru),,NA,NA,,POINT,"[36.03875,-0.17608]",,NA,NA,NA,NA
SINDO MEDICAL CENTRE,dLoMYi62lgK,,zwpctzVflwm,SINDO MEDICAL CENTRE,NEXT TO SINDO PRIMARY SCHOOL,NA,NA,,NONE,"[34.173755,-0.5428983]",,NA,NA,NA,NA
Wingemi Community Health Unit,qvsWrB065An,701118,Tqb483GsrKg,Wingemi Community Health Unit,,NA,NA,,NONE,"[38.47439,-0.99682]",,NA,NA,NA,NA
Nyaani Community Health Unit,fmx7jMOrMsr,701115,eOdo6yQqfrn,Nyaani Community Health Unit,,NA,NA,,NONE,"[38.30188,-1.15481]",,NA,NA,NA,NA
Kivani Community Health Unit,rSxs2QMKzJB,701176,m0SUY7laLBY,Kivani CHU,,NA,NA,,POINT,"[37.909827,-1.187193]",,NA,NA,NA,NA
Gatwekera B,hUPEznkDZAG,,dYniZG1Q7Tk,Gatwekera B,Adjacent to Carolina for Kibera,NA,NA,,NONE,,,NA,NA,NA,NA
Lunyito Dispensary,zvicDsjeRbr,15974,QDeZMYaTxpd,Lunyito Dispensary,,NA,NA,,POINT,"[34.8755,0.6736]",,NA,NA,NA,NA
Mutyangome Community Health Unit,kpoqDeabSdu,701120,HIhxuWPjswX,Mutyangome Community Health Unit,,NA,NA,,NONE,"[38.33304,-0.95812]",,NA,NA,NA,NA
Imba Community Health Unit,RQ8zTYovWfv,701113,eRDlw3gzR2I,Imba Community Health Unit,,NA,NA,,NONE,"[38.431358,-0.84281]",,NA,NA,NA,NA
Karanja Community Clinic,FoKfTGrVlpH,,tZfKaFDQcdW,Karanja Community Clinic,Beyond Zero slum upgrading project,NA,NA,Beyond zero clinics,NONE,,,NA,NA,NA,NA
Nairobi West Men's Prison Dispensary,aehWJKyrJBo,13116,uPv6CYD6np2,Nairobi West Men's Prison,,NA,NA,,POINT,"[36.8101,-1.31869]",,NA,NA,NA,NA
Mbagara Dispensary,ByiHGSgYyaR,16011,ceveVgwvcc7,Mbagara Dispensary,,NA,NA,,POINT,"[35.00844,0.72582]",,NA,NA,NA,NA
Bangii Medical Clinic,RVVdU278kaa,14225,q6DoWWo1dCR,Bangii Medical Clinic,,NA,NA,,POINT,"[36.00408,-0.27787]",,NA,NA,NA,NA
Maria Dominica Dispensary,i4tV309s7wV,13061,clyAqa9XVNp,Maria Dominica Dispensary,,NA,NA,,POINT,"[36.72276,-1.35882]",,NA,NA,NA,NA
Vipawa Medical Services,eyDpe8RduWo,18741,tZfKaFDQcdW,Vipawa Medical Services,Medical clinic,NA,NA,"yet to start reporting, all reporting tools issued to the facility after coding.",POINT,"[36.78503,-1.31122]",,NA,NA,NA,NA
Karen Technical Training Institute for the Deaf Dispensary,XIYdwgdcc1p,20340,clyAqa9XVNp,KTTID Dispensary,Dispensary,NA,NA,,POINT,"[36.71683,-1.33004]",,NA,NA,NA,NA
Kanzanzu Community Health Unit,UcfFOsFvaBw,701123,xwHc1kYGQny,Kanzanzu Community Health Unit,,NA,NA,,NONE,"[38.08168,-0.998081]",,NA,NA,NA,NA
Africare Ltd Karen Clinic,k62qAqfRoTF,22639,clyAqa9XVNp,Africare Ltd Karen Clinic,Opposite Karen Police Station at Karen Post office Building,NA,NA,new facility,NONE,"[36.707066,-1.322999]",,NA,NA,NA,NA
Cheera Dispensary,o7RDct83lZq,11968,mr7zhcDiR5h,Cheera Dispensary,,NA,NA,,POINT,"[37.6799,-0.37191]",,NA,NA,NA,NA
Kiati Dispensary,rFuGZqBADZU,17935,V2yqe9L0ha7,Kiati Dispensary,,NA,NA,,POINT,"[38.25313,-1.53427]",,NA,NA,NA,NA
St Basil's Catholic Dispensary,E6m9kP8H4eD,18115,juDN8sSnk3O,St. Basil's Catholic Dispensary,Dispensary,NA,NA,,POINT,"[37.46802,-0.38588]",,NA,NA,NA,NA
Kiamuchii Dispensary,F7l9HXY2HWw,12273,mr7zhcDiR5h,Kiamuchii Dispensary,,NA,NA,,POINT,"[37.70472,-0.38966]",,NA,NA,NA,NA
Kirumi Dispensary,nqq2iD62e4b,12339,AIL7D1wnOIl,Kirumi Dispensary,,NA,NA,,POINT,"[37.702757,-0.242381]",,NA,NA,NA,NA
Gathehu Community Unit,pr78DoiqMZy,,p5wxfCVqD12,Gathehu C.U,Linked to Gathehu disp in Magutu ward,NA,NA,,NONE,,,NA,NA,NA,NA
Susamed Medical Clinic,tjRgJv8hWTF,17686,ETN4UDiD5y5,Susamed Medical Clinic,,NA,NA,Operational,NONE,"[36.924,-1.26349]",,NA,NA,NA,NA
Komarock Medical Clinic,hCdEprRbTNa,13038,I6S3XcUsF34,Komarock Medical Clinic,,NA,NA,Operational,POINT,"[36.90634,-1.2695]",,NA,NA,NA,NA
Sultan Hamud community unit,nupNRSXzAyR,,t75KnRpIucJ,Sultan Hamud  CU,,NA,NA,,NONE,,,NA,NA,NA,NA
Katutu Community Health Unit,lnLFRBPLYkP,701179,Zt9yjhRMHo2,Katutu CU,,NA,NA,,POINT,"[37.826513 , -1.184347]",,NA,NA,NA,NA
Nguuni Community Health Unit,tvhXUEdkIQk,701090,vtv9mXNqVJJ,Nguuni Community Health Unit,,NA,NA,,NONE,"[38.40613,-0.95762]",,NA,NA,NA,NA
Mutanda Community Health Unit,u5LN6pUe90D,701177,LMgQSc8hjM7,Mutanda CHU,,NA,NA,,POINT,"[37.856582,-1.194073]",,NA,NA,NA,NA
Mahanga Dispensary,mzlrz5MPNNj,15987,nbaDAo4y7cH,Mahanga Dispensary,,NA,NA,,POINT,"[34.85276,0.6225]",,NA,NA,NA,NA
Healthways Medical Centre,SJ65JqGSWrv,18278,ZWRytukDvQ7,Healthways Medical Center,,NA,NA,,POINT,"[36.82851,-1.31598]",,NA,NA,NA,NA
Queens & Kings Health Centre,R2VAdNmCAUr,19906,tGtfKyhl0y1,Queens & Kings Health Centre,,NA,NA,,POINT,"[37.63431,-0.57839]",,NA,NA,NA,NA
Gachuiro Community Unit,HMJBvVgcHsS,,chpI9P5qCVq,Gachuiro CU,,NA,NA,,NONE,,,NA,NA,NA,NA
Umoja III Medical Centre,kizpJSMBofw,20187,ivNrlSMRNra,Umoja III Medical Centre,,NA,NA,,POINT,"[36.8895,-1.27424]",,NA,NA,NA,NA
B/Valley (PCEA) Clinic,aZ8rLZ2bFeo,11939,GjGpfHjSGbO,B/Valley (PCEA) Clinic,,NA,NA,,POINT,"[37.46336,-0.5332]",,NA,NA,NA,NA
Don Bosco Clinic,WclYxVhIusR,11987,tGtfKyhl0y1,Don Bosco Clinic,,NA,NA,,POINT,"[37.64728,-0.5843]",,NA,NA,NA,NA
St Antony Medical Clinic,rtTgmcuJNJD,18113,juDN8sSnk3O,St. Antony Medical Clinic,,NA,NA,,POINT,"[37.4502,-0.41151]",,NA,NA,NA,NA
Ntha Clinic,hJyDR40SGVT,12672,mr7zhcDiR5h,Ntha Clinic,,NA,NA,,POINT,"[37.66688,-0.35573]",,NA,NA,NA,NA
Kahuru Community Unit,O4ZcHzdtuaO,,MQEWJ5OJUfP,Kahuru C. U,,NA,NA,,NONE,,,NA,NA,NA,NA
Nuu Community Health Unit,nrjFShEOt88,701116,duh1uCn73Ys,Nuu Community Health Unit,,NA,NA,,NONE,"[38.35881,-1.0599]",,NA,NA,NA,NA
St Patrick Health Care Centre,L3W78DWaVfN,13222,ETN4UDiD5y5,St Patrick Clinic,,NA,NA,,POINT,"[36.91829,-1.26742]",,NA,NA,NA,NA
Gertrude Komarock Clinic,MzCL8JfJrqp,17725,I6S3XcUsF34,Getrude Komarock  Clinic,,NA,NA,Operational,POINT,"[36.91082,-1.26715]",,NA,NA,NA,NA
Mutha Health Centre,SuUvBXuwKzr,12586,V2yqe9L0ha7,Mutha Health Centre,,NA,NA,,POINT,"[38.25696,-1.4782]",,NA,NA,NA,NA
Chebewor Dispensary,OZbL7oZvsP2,14293,tqCrm5nojsI,Chebewor Dispensary,,NA,NA,,POINT,"[35.61859,-0.1979]",,NA,NA,NA,NA
Gulanze Dispesary,DyIqsHhjfaL,21948,YZvux1SW3bs,Gulanze Dispesary,,NA,NA,,NONE,,,NA,NA,NA,NA
KEMRI ALUPE HODPITAL,FsLuPqhTGZX,22582,umi4GRQTwG0,KEMRI ALUPE HOSPITAL,,NA,NA,,NONE,,,NA,NA,NA,NA
Lutaso Dispensary,TtPo1TF1tpl,15978,ddOJaw1OQwA,Lutaso Dispensary,,NA,NA,,POINT,"[34.71081,0.44406]",,NA,NA,NA,NA
Sivilie Health Centre,Hvo3qjmJZTO,16147,ddOJaw1OQwA,Sivilie Health Centre,healthcentre,NA,NA,changed from dispensary to health centre,POINT,"[34.69678,0.46955]",,NA,NA,NA,NA
Athi Dispensary,YFYpHHWmaAE,22085,amA6INYYpDG,Athi Dispensary,,NA,NA,,POINT,"[38.06690,-2.19991]",,NA,NA,NA,NA
Nkondi Health Centre,DPab9wZiwKp,12665,Om9OC4PNQJo,Nkondi Health Centre,,NA,NA,,POINT,"[37.95691,-0.04122]",,NA,NA,NA,NA
Kamara Community Unit,RsHSbPqBDiE,701136,ebuf0Ix1pYu,Kamara,,NA,NA,,NONE,,,NA,NA,NA,NA
Gacharage Community Unit,p6YroJ0rlUW,701141,n9wUBgKYzPo,Gacharage,,NA,NA,,NONE,,,NA,NA,NA,NA
Tegea Community Unit,Ox78pVbQODm,701142,gFBAFcueFtr,Tegea,,NA,NA,,NONE,,,NA,NA,NA,NA
Mautuma Sub-District Hospital,s7kF3iHFhmi,16010,ceveVgwvcc7,Mautuma Sub-District Hosp,,NA,NA,,POINT,"[34.98169,0.72482]",,NA,NA,NA,NA
Sisokhe Dispensary,ODM2QM6y8hO,20041,soqBddsWHf5,Sisokhe Dispensary,,NA,NA,,POINT,"[34.61191,0.4331]",,NA,NA,NA,NA
Enziu Community Health Unit,ix288X4xjfB,701094,UwzYXDUJFGj,Enziu Community Health Unit,,NA,NA,,NONE,"[38.24395,-0.84316]",,NA,NA,NA,NA
LiveWell Medical Clinic Kayole,oe9ga94XLz2,17687,ETN4UDiD5y5,LiveWell Medical Clinic Kayole,Near Kayole I Market,NA,NA,Operational,POINT,"[36.91731,-1.26442]",,NA,NA,NA,NA
Rophy Clinic,P412w5QKgZ7,16093,F2TBdrJClsv,Rophy Clinic,,NA,NA,,POINT,"[34.9636,0.6418]",,NA,NA,NA,NA
Siakago Boys High School Dispensary,eYc8MBcHnOV,19905,tGtfKyhl0y1,Siakago Boys High School Dispensary,Dispensary,NA,NA,,POINT,"[37.64514,-0.53662]",,NA,NA,NA,NA
Makina Clinic,DaVBemEUKpb,13058,tZfKaFDQcdW,Makina Clinic,,NA,NA,,POINT,"[36.78485,-1.30868]",,NA,NA,NA,NA
Carolina For Kibera VCT,e1tAfdtChUW,12891,dYniZG1Q7Tk,Carolina For Kibera VCT,,NA,NA,,POINT,"[36.77879,-1.3142]",,NA,NA,NA,NA
Maai Community Health Unit,x5ywRk3KeXf,701114,iWlZR0L75nk,Maai Community Health Unit,,NA,NA,,NONE,"[38.3065,-0.70516]",,NA,NA,NA,NA
Kipkaren Clinic,DmW2VMevMgH,15951,F2TBdrJClsv,Kipkaren Clinic,,NA,NA,,POINT,"[34.9636,0.6418]",,NA,NA,NA,NA
Cfw Ikuu,Ml1Ho3Zebk8,,vGpXQ5hFNmS,CFW Ikuu,,NA,NA,,NONE,,,NA,NA,NA,NA
Kirie Dispensary,tww0l46CGoh,12333,HpGxgPszuYN,Kirie Dispensary,,NA,NA,,POINT,"[37.78069,-0.58001]",,NA,NA,NA,NA
Karandini Medical Clinic,LzqUiCBe9Wt,17771,vGpXQ5hFNmS,Karandini Medical Clinic,,NA,NA,,POINT,"[37.62725,-0.35826]",,NA,NA,NA,NA
Mwonge Dispensary,WdPW5EhMgoT,12630,vGpXQ5hFNmS,Mwonge Dispensary,,NA,NA,,POINT,"[37.62908,-0.3611]",,NA,NA,NA,NA
