name,uid,code,parent,shortname,description,openingdate,closedate,comment,featuretype,coordinates,url,contactperson,address,email,phonenumber
Ndoinet Community Unit,eG6f3xY6tkY,701145,PxtZobnR8GD,Ndoinet,,,,,NONE,,,,,,
Kiptororo Community Unit,eY8ECJOtxZ5,701146,N33O5RbSwJs,Kiptororo,,,,,NONE,,,,,,
Ikumbi Community Unit,JiRELPyMCgv,701147,Y9rLWFzWrme,Ikumbi CHU,,,,,NONE,,,,,,
Seguton Community Unit,tboHma9btOl,701149,cTUAph4vjQ9,Seguton,,,,,NONE,,,,,,
Masaita Community Unit,nXvI5uNgVoO,701150,KXFxZXyY02o,Masaita,,,,,NONE,,,,,,
Gsu Training School,DWLpIjoOcan,12962,GwVllI2Zdfe,GSU Training School,,,,Operational,NONE,"[36.95309,-1.29032]",,,,,
Imara Medical Clinic,tX45wOtLw5K,12981,Nt7PPe0Vdou,Imara Medical Clinic,,,,Operational,POINT,,,,,,
Pipeline Nursing Home,apKYnsMHEmX,12978,vjOR4Xpi2TY,Pipeline Nursing Home,,,,Operational,NONE,"[36.8865,-1.31699]",,,,,
Mwatate Health Care Centre,gHbligMG9MS,19454,raV5YKTRCG2,Mwatate Tassia,,,,,POINT,"[36.8925,-1.36091]",,,,,
Bwake Dispensay,MAr6ufpvzAN,22601,OrWMyDLtm7r,Bwake,,,,,NONE,"[35.19998,1.0404933]",,,,,
Kipkeikei Dispensary,t8mzOrmQUgY,14895,OrWMyDLtm7r,Kipkeikei Dispensary,,,,,POINT,"[35.2093,1.01374]",,,,,
Kenol Hospital,RgYDrx3O3uZ,10512,D8f8vrysA4J,Kenol Hospital,,,,,POINT,"[37.12638,-0.9372]",,,,,
Mwambui/Ikuusya Community Health Unit,HBRrE9sqwNc,,wW1Dk31v6BI,Mwambui/Ikuusya Community Health Unit,,,,,NONE,"[38.35405,-0.7478]",,,,,
GINGO COMMUNITY,XWvfQ69Rn10,22590,zwpctzVflwm,GINGO COMMUNITY,NEXT TO GINGO MARKET,,,,NONE,"[34.1686633,-0.487575]",,,,,
Yalatani  Community Health Unit,DpxaiYBtU1p,,cmWAJB5kCDW,Yalatani  Community Health Unit,Within Mutonguni Ward,,,,NONE,"[38.032858,-1.173334]",,,,,
Kalimoni Mission Hospital (Juja),JeuBdNUUREJ,10438,Cqn7anNruE5,Kalimoni Mission Hospital,,,,,POINT,"[37.01975,-1.11605]",,,,,
Ngiluni Community Health Unity,XAqnXqzirCB,701135,nl69oAwGv8E,Ngiluni Community Health UNITY,,,,,NONE,"[38.21242,-1.12214]",,,,,
ST.JEROME,opa2rAXtfPD,,UQd8QPTpVD0,ST.JEROME,,,,,NONE,,,,,,
Cfw Cheera,RdgmQnLcuLS,,mr7zhcDiR5h,Cfw Cheera,,,,,NONE,,,,,,
Mwangulu Community Health Unit,DvKyBjOLWk7,601863,VVcbqmCinwl,Mwangulu CHU,Cu,,,,POINT,"[39.0134,-4.40954]",,,,,
Cfw Kiracha,wVALt70V1L5,18881,vGpXQ5hFNmS,CFW Kiracha,,,,,POINT,"[37.61115,-0.38364]",,,,,
Yumbu/Itiko Community Health Unit,v4SR3FM7obg,701082,CnHaXmRzuF9,Yumbu/Itiko Community Health Unit,,,,,NONE,"[38.26676,-0.93088]",,,,,
Muchonoke Dispensary,q7MBM31M4vy,18269,tGtfKyhl0y1,Muchonoke Dispensary,,,,operational,POINT,"[37.81411,-0.54105]",,,,,
Kamarandi Dispensary,DmkrFYToUwc,18775,rZ0Io1sU38M,Kamarandi Dispensary,Dispensary,,,OPERATIONAL,POINT,"[37.89853,-0.36862]",,,,,
Hope World Wide Kenya Mukuru Clinic,EEgdQUWsTLK,17684,HvcGWkiIxjp,Hope World Wide Kenya Mukuru Clinic,,,,,NONE,"[36.87128,-1.31417]",,,,,
Nyangoma Health Centre(Inactive ),ISneFj4pIh2,,FFfi4zTqdH2,Nyangoma Health Centre(inactive),,,,,NONE,,,,,,
Lodokejek Ward,PRuQd7VjO3x,,EmQRGVtvWy3,Lodokejek Ward,,,,,NONE,,,,,,
Kaani Dispensary,crSbiV0rS0m,12118,uRN4WDLAPSP,Kaani Dispensary,,,,,POINT,"[37.35348,-1.51621]",,,,,
Mwambiu Community Health Unit,lUllsS2GaNn,701117,mMwrlllQqsC,Mwambiu Community Health Unit,,,,,NONE,"[38.35405,-1.12007]",,,,,
Nairobi West Chidren Clinic,lcqEc8aoYJE,13114,uPv6CYD6np2,Nairobi West Chidren clin,,,,,POINT,"[36.81907,-1.31323]",,,,,
New Life Home Childrens Home,ylArFd0Lgc6,13120,yXbOIljEz90,New Life Home Childrens Home,,,,,POINT,"[36.78707,-1.29017]",,,,,
Wema Cfw Clinic,GkXVioI1OEd,13255,dYniZG1Q7Tk,Wema CFW clinic,,,,Closed to pave way for the southern bypass.,POINT,"[36.77825,-1.31794]",,,,,
Neema Ya Yesu Clinic,EKZrqdnJYaR,17456,uPv6CYD6np2,Neema Ya Yesu Clinic,,,,"The facility is re-opened in April 2012
Facility was closed down again in June 2012",POINT,"[36.79861,-1.31847]",,,,,
Ngungi Community Health Unit,VOYr3po8APl,701125,USnXsKaOa23,Ngungi Community Health Unit,,,,,NONE,"[38.21821,-1.03564]",,,,,
Gitaru Clinic,wzU1yjuhIQp,12040,CMHN2XMxdY9,Gitaru Clinic,clinic,,,,POINT,"[37.64917,-0.77136]",,,,,
Mathyakani Community Health Unit,kE7YD5mYFhD,701087,Hk4RzoagEQy,Mathyakani Community Health Unit,,,,,NONE,"[38.32846,-0.85764]",,,,,
Nyanyaa Community Health Unit,uIEn6hZoMmJ,701130,x9P3yE4K4qt,Nyanyaa Community Health Unit,,,,,NONE,"[38.05235,-0.7478]",,,,,
Waita Community Health Unity,NybaobjX9fB,701133,wW1Dk31v6BI,Waita Community Health Unity,,,,,NONE,"[38.09442,-0.78026]",,,,,
Godo Community Health Unit,snnwWrb3dPe,602752,qBmMdCCXus8,Godo CHU,Cu,,,,POINT,"[39.57947,-4.27116]",,,,,
Makutano Community Health Unit,L9O4LFq7XrL,,qBmMdCCXus8,Makutano CHU,,,,,NONE,,,,,,
Mtumwa Community Health Unit,AlInSWGH0ZG,602757,S6X2QNJUj2g,Mtumwa CHU,Cu,,,,POINT,"[39.53,-4.29503]",,,,,
Bethsaida (AIC) Clinic (Nakuru),P97vatycAS3,14251,lTh2MSvx02l,Bethsaida Clinic (Nakuru),,,,,POINT,"[36.03875,-0.17608]",,,,,
SINDO MEDICAL CENTRE,dLoMYi62lgK,,zwpctzVflwm,SINDO MEDICAL CENTRE,NEXT TO SINDO PRIMARY SCHOOL,,,,NONE,"[34.173755,-0.5428983]",,,,,
Wingemi Community Health Unit,qvsWrB065An,701118,Tqb483GsrKg,Wingemi Community Health Unit,,,,,NONE,"[38.47439,-0.99682]",,,,,
Nyaani Community Health Unit,fmx7jMOrMsr,701115,eOdo6yQqfrn,Nyaani Community Health Unit,,,,,NONE,"[38.30188,-1.15481]",,,,,
Kivani Community Health Unit,rSxs2QMKzJB,701176,m0SUY7laLBY,Kivani CHU,,,,,POINT,"[37.909827,-1.187193]",,,,,
Gatwekera B,hUPEznkDZAG,,dYniZG1Q7Tk,Gatwekera B,Adjacent to Carolina for Kibera,,,,NONE,,,,,,
Lunyito Dispensary,zvicDsjeRbr,15974,QDeZMYaTxpd,Lunyito Dispensary,,,,,POINT,"[34.8755,0.6736]",,,,,
Mutyangome Community Health Unit,kpoqDeabSdu,701120,HIhxuWPjswX,Mutyangome Community Health Unit,,,,,NONE,"[38.33304,-0.95812]",,,,,
Imba Community Health Unit,RQ8zTYovWfv,701113,eRDlw3gzR2I,Imba Community Health Unit,,,,,NONE,"[38.431358,-0.84281]",,,,,
Karanja Community Clinic,FoKfTGrVlpH,,tZfKaFDQcdW,Karanja Community Clinic,Beyond Zero slum upgrading project,,,Beyond zero clinics,NONE,,,,,,
Nairobi West Men's Prison Dispensary,aehWJKyrJBo,13116,uPv6CYD6np2,Nairobi West Men's Prison,,,,,POINT,"[36.8101,-1.31869]",,,,,
Mbagara Dispensary,ByiHGSgYyaR,16011,ceveVgwvcc7,Mbagara Dispensary,,,,,POINT,"[35.00844,0.72582]",,,,,
Bangii Medical Clinic,RVVdU278kaa,14225,q6DoWWo1dCR,Bangii Medical Clinic,,,,,POINT,"[36.00408,-0.27787]",,,,,
Maria Dominica Dispensary,i4tV309s7wV,13061,clyAqa9XVNp,Maria Dominica Dispensary,,,,,POINT,"[36.72276,-1.35882]",,,,,
Vipawa Medical Services,eyDpe8RduWo,18741,tZfKaFDQcdW,Vipawa Medical Services,Medical clinic,,,"yet to start reporting, all reporting tools issued to the facility after coding.",POINT,"[36.78503,-1.31122]",,,,,
Karen Technical Training Institute for the Deaf Dispensary,XIYdwgdcc1p,20340,clyAqa9XVNp,KTTID Dispensary,Dispensary,,,,POINT,"[36.71683,-1.33004]",,,,,
Kanzanzu Community Health Unit,UcfFOsFvaBw,701123,xwHc1kYGQny,Kanzanzu Community Health Unit,,,,,NONE,"[38.08168,-0.998081]",,,,,
Africare Ltd Karen Clinic,k62qAqfRoTF,22639,clyAqa9XVNp,Africare Ltd Karen Clinic,Opposite Karen Police Station at Karen Post office Building,,,new facility,NONE,"[36.707066,-1.322999]",,,,,
Cheera Dispensary,o7RDct83lZq,11968,mr7zhcDiR5h,Cheera Dispensary,,,,,POINT,"[37.6799,-0.37191]",,,,,
Kiati Dispensary,rFuGZqBADZU,17935,V2yqe9L0ha7,Kiati Dispensary,,,,,POINT,"[38.25313,-1.53427]",,,,,
St Basil's Catholic Dispensary,E6m9kP8H4eD,18115,juDN8sSnk3O,St. Basil's Catholic Dispensary,Dispensary,,,,POINT,"[37.46802,-0.38588]",,,,,
Kiamuchii Dispensary,F7l9HXY2HWw,12273,mr7zhcDiR5h,Kiamuchii Dispensary,,,,,POINT,"[37.70472,-0.38966]",,,,,
Kirumi Dispensary,nqq2iD62e4b,12339,AIL7D1wnOIl,Kirumi Dispensary,,,,,POINT,"[37.702757,-0.242381]",,,,,
Gathehu Community Unit,pr78DoiqMZy,,p5wxfCVqD12,Gathehu C.U,Linked to Gathehu disp in Magutu ward,,,,NONE,,,,,,
Susamed Medical Clinic,tjRgJv8hWTF,17686,ETN4UDiD5y5,Susamed Medical Clinic,,,,Operational,NONE,"[36.924,-1.26349]",,,,,
Komarock Medical Clinic,hCdEprRbTNa,13038,I6S3XcUsF34,Komarock Medical Clinic,,,,Operational,POINT,"[36.90634,-1.2695]",,,,,
Sultan Hamud community unit,nupNRSXzAyR,,t75KnRpIucJ,Sultan Hamud  CU,,,,,NONE,,,,,,
Katutu Community Health Unit,lnLFRBPLYkP,701179,Zt9yjhRMHo2,Katutu CU,,,,,POINT,"[37.826513 , -1.184347]",,,,,
Nguuni Community Health Unit,tvhXUEdkIQk,701090,vtv9mXNqVJJ,Nguuni Community Health Unit,,,,,NONE,"[38.40613,-0.95762]",,,,,
Mutanda Community Health Unit,u5LN6pUe90D,701177,LMgQSc8hjM7,Mutanda CHU,,,,,POINT,"[37.856582,-1.194073]",,,,,
Mahanga Dispensary,mzlrz5MPNNj,15987,nbaDAo4y7cH,Mahanga Dispensary,,,,,POINT,"[34.85276,0.6225]",,,,,
Healthways Medical Centre,SJ65JqGSWrv,18278,ZWRytukDvQ7,Healthways Medical Center,,,,,POINT,"[36.82851,-1.31598]",,,,,
Queens & Kings Health Centre,R2VAdNmCAUr,19906,tGtfKyhl0y1,Queens & Kings Health Centre,,,,,POINT,"[37.63431,-0.57839]",,,,,
Gachuiro Community Unit,HMJBvVgcHsS,,chpI9P5qCVq,Gachuiro CU,,,,,NONE,,,,,,
Umoja III Medical Centre,kizpJSMBofw,20187,ivNrlSMRNra,Umoja III Medical Centre,,,,,POINT,"[36.8895,-1.27424]",,,,,
B/Valley (PCEA) Clinic,aZ8rLZ2bFeo,11939,GjGpfHjSGbO,B/Valley (PCEA) Clinic,,,,,POINT,"[37.46336,-0.5332]",,,,,
Don Bosco Clinic,WclYxVhIusR,11987,tGtfKyhl0y1,Don Bosco Clinic,,,,,POINT,"[37.64728,-0.5843]",,,,,
St Antony Medical Clinic,rtTgmcuJNJD,18113,juDN8sSnk3O,St. Antony Medical Clinic,,,,,POINT,"[37.4502,-0.41151]",,,,,
Ntha Clinic,hJyDR40SGVT,12672,mr7zhcDiR5h,Ntha Clinic,,,,,POINT,"[37.66688,-0.35573]",,,,,
Kahuru Community Unit,O4ZcHzdtuaO,,MQEWJ5OJUfP,Kahuru C. U,,,,,NONE,,,,,,
Nuu Community Health Unit,nrjFShEOt88,701116,duh1uCn73Ys,Nuu Community Health Unit,,,,,NONE,"[38.35881,-1.0599]",,,,,
St Patrick Health Care Centre,L3W78DWaVfN,13222,ETN4UDiD5y5,St Patrick Clinic,,,,,POINT,"[36.91829,-1.26742]",,,,,
Gertrude Komarock Clinic,MzCL8JfJrqp,17725,I6S3XcUsF34,Getrude Komarock  Clinic,,,,Operational,POINT,"[36.91082,-1.26715]",,,,,
Mutha Health Centre,SuUvBXuwKzr,12586,V2yqe9L0ha7,Mutha Health Centre,,,,,POINT,"[38.25696,-1.4782]",,,,,
Chebewor Dispensary,OZbL7oZvsP2,14293,tqCrm5nojsI,Chebewor Dispensary,,,,,POINT,"[35.61859,-0.1979]",,,,,
Gulanze Dispesary,DyIqsHhjfaL,21948,YZvux1SW3bs,Gulanze Dispesary,,,,,NONE,,,,,,
KEMRI ALUPE HODPITAL,FsLuPqhTGZX,22582,umi4GRQTwG0,KEMRI ALUPE HOSPITAL,,,,,NONE,,,,,,
Lutaso Dispensary,TtPo1TF1tpl,15978,ddOJaw1OQwA,Lutaso Dispensary,,,,,POINT,"[34.71081,0.44406]",,,,,
Sivilie Health Centre,Hvo3qjmJZTO,16147,ddOJaw1OQwA,Sivilie Health Centre,healthcentre,,,changed from dispensary to health centre,POINT,"[34.69678,0.46955]",,,,,
Athi Dispensary,YFYpHHWmaAE,22085,amA6INYYpDG,Athi Dispensary,,,,,POINT,"[38.06690,-2.19991]",,,,,
Nkondi Health Centre,DPab9wZiwKp,12665,Om9OC4PNQJo,Nkondi Health Centre,,,,,POINT,"[37.95691,-0.04122]",,,,,
Kamara Community Unit,RsHSbPqBDiE,701136,ebuf0Ix1pYu,Kamara,,,,,NONE,,,,,,
Gacharage Community Unit,p6YroJ0rlUW,701141,n9wUBgKYzPo,Gacharage,,,,,NONE,,,,,,
Tegea Community Unit,Ox78pVbQODm,701142,gFBAFcueFtr,Tegea,,,,,NONE,,,,,,
Mautuma Sub-District Hospital,s7kF3iHFhmi,16010,ceveVgwvcc7,Mautuma Sub-District Hosp,,,,,POINT,"[34.98169,0.72482]",,,,,
Sisokhe Dispensary,ODM2QM6y8hO,20041,soqBddsWHf5,Sisokhe Dispensary,,,,,POINT,"[34.61191,0.4331]",,,,,
Enziu Community Health Unit,ix288X4xjfB,701094,UwzYXDUJFGj,Enziu Community Health Unit,,,,,NONE,"[38.24395,-0.84316]",,,,,
LiveWell Medical Clinic Kayole,oe9ga94XLz2,17687,ETN4UDiD5y5,LiveWell Medical Clinic Kayole,Near Kayole I Market,,,Operational,POINT,"[36.91731,-1.26442]",,,,,
Rophy Clinic,P412w5QKgZ7,16093,F2TBdrJClsv,Rophy Clinic,,,,,POINT,"[34.9636,0.6418]",,,,,
Siakago Boys High School Dispensary,eYc8MBcHnOV,19905,tGtfKyhl0y1,Siakago Boys High School Dispensary,Dispensary,,,,POINT,"[37.64514,-0.53662]",,,,,
Makina Clinic,DaVBemEUKpb,13058,tZfKaFDQcdW,Makina Clinic,,,,,POINT,"[36.78485,-1.30868]",,,,,
Carolina For Kibera VCT,e1tAfdtChUW,12891,dYniZG1Q7Tk,Carolina For Kibera VCT,,,,,POINT,"[36.77879,-1.3142]",,,,,
Maai Community Health Unit,x5ywRk3KeXf,701114,iWlZR0L75nk,Maai Community Health Unit,,,,,NONE,"[38.3065,-0.70516]",,,,,
Kipkaren Clinic,DmW2VMevMgH,15951,F2TBdrJClsv,Kipkaren Clinic,,,,,POINT,"[34.9636,0.6418]",,,,,
Cfw Ikuu,Ml1Ho3Zebk8,,vGpXQ5hFNmS,CFW Ikuu,,,,,NONE,,,,,,
Kirie Dispensary,tww0l46CGoh,12333,HpGxgPszuYN,Kirie Dispensary,,,,,POINT,"[37.78069,-0.58001]",,,,,
Karandini Medical Clinic,LzqUiCBe9Wt,17771,vGpXQ5hFNmS,Karandini Medical Clinic,,,,,POINT,"[37.62725,-0.35826]",,,,,
Mwonge Dispensary,WdPW5EhMgoT,12630,vGpXQ5hFNmS,Mwonge Dispensary,,,,,POINT,"[37.62908,-0.3611]",,,,,
Kiamuriuki Dispensary,MDhzZLi4TRb,12275,vGpXQ5hFNmS,Kiamuriuki Dispensary,,,,,POINT,"[37.59391,-0.37409]",,,,,
Kianjogu community unit,EaQIoaJcqMM,,l8hZrEbx16b,Kianjogu c.u,,,,,NONE,,,,,,
Ukasi Community Health Unit,fIokDDfzld9,701097,Hno26BY1FHK,Ukasi Community Health Unit,,,,,NONE,"[38.53425,-0.80473]",,,,,
Ivona Wayside Clinic,WiLq3ZTB8kR,15905,ceveVgwvcc7,Ivona Wayside Clinic,,,,,POINT,"[34.98853,0.73768]",,,,,
Huruma St Judes Medical Centre,mk19bE1MPxJ,,LlDgh96665K,Huruma St. Judes Medical Centre,,,,,POINT,"[36.87765,-1.26174]",,,,,
Bonyando Community Health Unit,UBzFGtNChXx,600078,fjQDkluQIse,Bonyando CHU,,,,,NONE,"[34.71222,-0.66678]",,,,,
Lina Medical Services,pJMTYt2h0jk,20406,raV5YKTRCG2,Lina Medical Services,Behind Nairobi Gospel Centre  Opp. Taj Mall Off Outering Road,,,Operational,POINT,"[36.89919,-1.31901]",,,,,
Sirikwa Community Health Unit,UpnOzccBOc0,701140,JS2VGtZFlyQ,Sirikwa,,,,,NONE,,,,,,
Holy Trinity Health Centre (Mai Mahiu),UZIrITrlw2Y,14550,l7oNy9qaqWe,Holy Trinity,,,,,POINT,"[36.49163,-0.88309]",,,,,
Southern Health Care,nh9clocohNJ,17390,ZWRytukDvQ7,Southern Health Care,,,,,POINT,"[36.82765,-1.31398]",,,,,
Kalimani Community Unit,ohY8ldbSO1Q,701180,jUWR9B4l4ze,Kalimani Community Unit,,,,,NONE,"[37.942860,-1.326975]",,,,,
Multi Media University Dispensary,hFFl8gIEROR,13018,oFPmL4TCoWb,MMU Dispensary,,,,,POINT,"[36.77079,-1.38183]",,,,,
National Youth Service Turbo Dispensary,UOKEv02h8eL,,F2TBdrJClsv,NYS Dispensary,,,,,NONE,,,,,,
Kianjogu Community Unit,KJ0wdOddlId,,wuwDByjSR8s,Kianjogu CU,,,,,NONE,,,,,,
KOMAROCK MODERN HOSPITAL UTAWALA,MblJKmnBb5u,22352,rEwQxmUPoZE,KOMAROCK MODERN HOSPITAL UTAWALA,,,,,NONE,"[36.904333,-1.297644]",,,,,
SWOP CLINIC DONHOLM,R2rsYA67uem,22349,OaqOHmb6jNs,SWOP CLINIC DONHOLM,,,,,NONE,"[36.899085,-1.292826]",,,,,
Thonoa Commmunity Health Unit,U4fNU2tKMBK,701051,wW1Dk31v6BI,Thonoa Commmunity Health Unit,,,,,NONE,"[38.012157,-0.76034]",,,,,
Lea Toto Clinic Kariobangi South,CZujy7aMz8a,13047,WJ020FJI9yB,Lea Toto Clinic Kariobangi South,,,,,POINT,"[36.8859,-1.26266]",,,,,
A.I.P.C.A Nakuru West Medical Centre,ZLWW4U0YIOu,22751,q6DoWWo1dCR,A.I.P.C.A Nakuru West Medical Centre,Githima Kaptembwa,,,Functional,NONE,"[36.0441033,-0.2839867]",,,,,
Mulimani Clinic,DLxhBHwfMk3,,WU8NRoTwaDK,Mulimani Clinic,,,,,NONE,,,,,,
The Karen Hospital,dU2BSQ7w7wU,13004,clyAqa9XVNp,The Karen Hospital,,,,,POINT,"[36.72589,-1.33687]",,,,,
Ciakathukuri Dispensary,E493oXXcwWa,20497,LlyKi6c8KbT,Ciakathukuri Dispensary,Dispensary,,,,POINT,"[37.76571,-0.50904]",,,,,
Githiriga Community Unit,lOb0RQIJeCI,701148,M2BkdXX873O,Githiriga,,,,,NONE,,,,,,
Kibera Ubuntu Afya Medical Centre,OSdOqtr9a9W,,tZfKaFDQcdW,KiberKibera Ubuntu Afya Medical Centre,,,,,NONE,,,,,,
