12.2.1 Expenditure/revenue ratio,k4r5EMxqJPR,,,,
12.2.2 Total financial resources in relation to number of beds,BAbG4T2OPmz,,,,
12.2.3 Overall death rate (deaths/admission,beBhDkbLT83,,,,
12.2.4 Number of maternal death in  facility,qOcgA0lv2C5,,,,
12.2.5 Deliveries,I3YYLhq8FwF,,,,
12.2.6 Neonatal deaths,bv2gJiDLuO6,,,,
12.2.7 Average length of Stay,RveZZeX801n,,,,
12.2 No. of premises licensed,iND61nCdm9Y,,,,
12.3.1 EPI Programme,xqjosYLdaFC,,,,
12.3.2 Malaria Programme,o5pL60pfWtO,,,,
12.3.3  IMCI Programme,wIKgpupipGG,,,,
12.3.4 HIV/AIDS,zKe7X5BfIrM,,,,
12.3.5 TB programme,cWJMFtVrTN3,,,,
12.3.6 FP programme,djKRLJIXBMR,,,,
"12.3,7 RH programme",lJO2h46NLq8,,,,
12.3.8 Communicable diaseses programme,DjRZoS4B7Lc,,,,
12.3 No. of premises inspected,Gi2BtdlcAaW,,,,
12.3 Progress and Performance of PHC Programmes.(where applicable),Rg1XDAACw5R,,,,
12.3 The targets for the following programmes have been met,LtDYq0s1rRb,,,,
12.4 No. of premises served with intimation notices,XGsrFAdeygw,,,,
"12.4 Staff attitude, motivation, job satisfaction and professional improvement is assessed and monitored over time",x2X3bGvaQhF,,,,
12.5 No. of previous  intimation notices complied,ShxSOiHhk2N,,,,
12.5 No. of previous intimation notices complied,ni0s8ECaDcC,,,,
12.5 Society satisfaction is assessed at regular intervals used in improvement plans,zFRrMeVKBjM,,,,
12.6 Efforts to obtain information on the populations changing trends on disease burden,kHfHFWV55g5,,,,
1.2 Leaders take ownership and recognize their role in Quality Management and Improvement ,PPD7MpNwTZ9,,,,
1.2 No. of premises inspected,zW8dtRnkH7z,,,,
12. Number tested HIV+ (New EPTB),F7BQXT7ExEh,,,,
12. Results at 8 months HIV +,NP2XfjX1rKK,,,,
"12.Total	Treatmen",N7mWThZqZHg,,,,
13.1 Pit latrine (new),VriJR4UPZAY,,,,
13.2 Existing hand washing facilities,Uici3KrCqGj,,,,
1330309 GOK Contribution,QokZ5jjGLRz,,,,
1330399 Total Grants - Fund Accounts from GoK Budget,P4TPwEIXFyV,,,,
13.3 Flush to piped sewer systems (new),N3ynLkMYyLj,,,,
13.4 Flush to septic tanks (new),qqP9hylCSEY,,,,
"13.5 Others (bucket, bush etc)",Qgc5VND5B04,,,,
13.6 No. of premises served with intimation notices,qOjOAzrUC14,,,,
13.7 No. of previous intimation notices complied,cCxfPJnchhG,,,,
1.3 Leaders promote a quality culture of continuous improvement,dMNEJBmnjAR,,,,
1.3 No. of Food Hygiene Licences issued by MOH Hqs (Cum. since January current year),gN2XBT1KjLs,,,,
13. Results at 8 months HIV-,ct3PV2jirFq,,,,
1410100 Interest Received,YkVzbDfJKMy,,,,
1410109 Interest from Com. Bank Account,H5NKPaRikyM,,,,
1410199 Total Interest Received,G1v7BB4cDZq,,,,
14.1 Control of points of entry,UN1zdr8FvBR,,,,
1420300 Receipts Admin Fees & Charges Collect as AIA,FLT5619aj9V,,,,
1420359 User Fees,cKGenTODtq8,,,,
1420369 Others (Incl. Direct Donations),nspiDhcn12j,,,,
1420399 Total Receipts Admin Fees & Charges Collect as AIA,sXFBotBEryK,,,,
14.2 Total no. of travel health documents inspected,Kr1zvTvJN5M,,,,
14.3 Vaccination of travellers,YYVsSnG0Sxk,,,,
14.4 No. of travellers on surveillance,TyKOJaHCNRI,,,,
1.4 Leaders have established a Quality Assurance unit ,tuPZop4qifu,,,,
1.4 No. of premises licensed,gsU4ZfPOP6c,,,,
14. Results at 8 months HIV Test Not Done,O5EX15HKS6f,,,,
15.1 No. of intimation notices served,yYaXkPPygwD,,,,
15.2 No. of intimation notices complied,TP1qWXK4YtP,,,,
15.3 No. of statutory notices served,K1RvBQwXrDD,,,,
15.4 No. of statutory notices complied,OawGTpm4cQ9,,,,
15.5 No. of cases prosecuted,v6g63HIYfzP,,,,
15.6 No. of cases convicted,wJ1g4UVAI90,,,,
1.5 Documented evidence of the performance of Quality Assurance Unit,ThmmNHsYi0d,,,,
1.5 No. of premises served with intimation,A9lPMktBqwW,,,,
15. Number on ART,AtMqM0wLKHm,,,,
16.1 No. of School going Children dewormed,i4yzzAyCrDk,,,,
1.6 No. of previous intimation notices complied with,KIxgxhvjKLI,,,,
16. Number on CPT,yy64rsnY1LJ,,,,
1.6 Top management review the quality management system periodically,OORAMyrC9oe,,,,
17. Results at 2 months ,siMRcvQOr9A,,,,
1.7 The quality management review agenda is comprehensive ,Q3YOpmV5XhX,,,,
1.8 Quality Management review ,NyokSyTDNCp,,,,
"1.8 Quality Management review meetings arrive at concrete decisions, allocate resources and document them.",U8rTekZLxfB,,,,
18. Results at 8 months,O511XwIX5K4,,,,
1999999 Total Income/Revenue,SQvK5SWp3MZ,,,,
1.9 A clear policy and guidelines guiding training of health workers is in place,uleiILnzaNj,,,,
19. Results at 8 months -HIV +,F5eCUYFODbF,,,,
1. Action points by facility ,gY6YOS7S6bk,,,,
1. New (N),RvJCOxUJ3Jn,,,,
1. Responsible Person ,Fej7Xt6RATF,,,,
1. Results at 2 months ,lV2GeKQKPw7,,,,
1st delay - Cultural / religious reasons / objections ,w0yhe43HWWy,,,,
1st delay - Failure to recognise danger signs,Hz4aRsZI3LH,,,,
1st delay - High cost of treatment,DVONLoi3tKo,,,,
1st delay - Ignorance of available services ,O3lIO3jGJes,,,,
"1st delay - Other, specify",FVRmGqSauyW,,,,
1st delay -Poverty,FCiX9BbS13h,,,,
1st Dose Tetanus Toxoid for pregnant  women (Health Facility),eHxtyYAzbwT,,,,
1st Dose Tetanus Toxoid for pregnant  women (Outreach),HuBOBbXely5,,,,
1st visit,XxnWU21pRrS,,,,
1. Timeframe,WoCrj0bMG6J,,,,
1. Type of resistance,zVIv5xsY92B,,,,
2000000 Expenditure,kQ4NVgc2MYs,,,,
20. Results at 8 months HIV-,VnzqFzXcjOu,,,,
2.10 Enhanced team work/team building demonstrated,evPGtNJmydE,,,,
2110200 Basic Wages - Temporary Employees,jY3JFizFzQN,,,,
2110201 Contractual Employees,usMDjlboKn4,,,,
2110202 Casual Labour Wages,WuEJXcFURTY,,,,
2.1 MOH 706_Blood Sugar high,tgbDsXUj2I0,,,,
2.1 MOH 706_Blood Sugar low,QJUync5DZoy,,,,
2.1 MOH 706_Blood Sugar Total,gTK8kZgOQ1e,,,,
21. Results at 8 months HIV Test Not Done,jxKm10PnvYy,,,,
"2.1 Staff list(s) including registration, qualification, current deployment, etc. is available.",mXO566am3l0,,,,
2.1 Total water points (as per field register),yPimcOKDfJp,,,,
2210100 Utilities & Courier Services,OV5vbWwUObv,,,,
2210101 Electricity,t75eApxzxfv,,,,
2210102 Water & Sewerage charges,q04fFLke4PE,,,,
2210200 Communication Supplies & Services,IxfhqZSgGy9,,,,
2210201 Telephone Telex Fax & Mobiles ,QrHdlGiLTpv,,,,
2210202 Internet Connection,nGagRoo4BzA,,,,
2210203 Courier & Postal Services,RijWww0GNyd,,,,
2210300 Domestic Travel & Accomodation,olXO38PrLGo,,,,
"2210301 Domestic Travel Costs (Air, Bus, Rail, Mileage)",sDEtpJj8IeQ,,,,
"2210301 Travel costs (airlines, bus, railway, mileage allowance, etc)",Veo55GTrxyW,,,,
2210302 Accommodation,fxaoLwdTFuP,,,,
2210302 Domestic Accomodation,VV8rxMutqgB,,,,
2210303 Outreach Services (DSA),W6kjK1t3oha,,,,
"2210304 Domestic Sundry Items (Airport Tax, Taxis)",Xa6MeCCoxXx,,,,
"2210304 Sundry Items (airport tax and taxis, etc)",Hc2wXHjhMTV,,,,
2210400 Foreign Travel & Accomodation,Wch6ja2TP8R,,,,
"2210401 Foreign Travel Costs (Air, Bus, Rail, Mileage)",hfT1b7RoYWt,,,,
"2210401 Travel costs (airlines, bus, railway, etc)",xdo6ORudvxq,,,,
2210402 Accommodation,zVr0uK8UxRu,,,,
2210402 Foreign Accomodation,fVWiEwAe580,,,,
2210403 Daily Subsistence Allowance,GGD7BZFoT3p,,,,
2210403 Foreign Subsistence Allowance,hktyi9OrG8d,,,,
"2210404 Foreign Sundry Items (Airport Tax, Taxis)",aHdwxFDddQf,,,,
"2210404 Sundry Items (airport tax and taxis, etc)",d357IrllpNC,,,,
2210405 Foreign Shipment of Personal & Household Effects,ywlCbfqDrqX,,,,
2210405 Shipment of Personal & Household Effects,dbcSzsSo32R,,,,
2210500 Advertising Publishing & Other Info Services,ZOWo7CBpBcC,,,,
2210502 Publishing and Printing Services,lnVrr5e4mXi,,,,
2210502 Publishing & Printing Services,DOPHF9sDlCE,,,,
"2210503 Subscriptions to Newspapers, Magazines & Periodicals",ImwC9UzlRI7,,,,
2210503 Subscription to Newspaper Magazine & Periodical,ExdHERqIX5P,,,,
"2210504 Advertising, Awareness and Publicity Campaigns",lEy0IkcpPaC,,,,
2210504 Advertising Awareness & Publicity Campaigns,PpXS2y8BvsK,,,,
2210505 Trade Shows & Exhibitions,stF6pYbR57c,,,,
2210700 Training & Workshops,UiihYhUyv36,,,,
2210701 Travel Allowance,h8JR0DwgjDb,,,,
2210701 Travel Allowances,uHj0fEYrjTx,,,,
2210703 Production & Printing of Training Materials,Q3Dtz4uTL0J,,,,
2210704 Hire of Training Facilities & Equipment,nUM4jocIXP5,,,,
2210710 Accommodation Allowances,JZ89TH1Uw7h,,,,
2210711 Tuition Fees Allowances,loyPvOedny8,,,,
2210800 Hospitality & Board,R3ZjwWO6pp6,,,,
"2210801 Catering Services, Accommodation, Gifts, Foods & Drinks",Tpp5Fh9rV07,,,,
"2210802 Boards, Committees, Conferences & Seminars",RIdOyfRqT15,,,,
2211000 Specialised Materials & Supplies,KAVPEvsu7GB,,,,
2211001 Medical Drugs,sW1FEKkUlno,,,,
2211002 Dressings and non-pharmaceuticals,BQP76E4mnEP,,,,
2211002 Dressings & Non Pharmaceuticals,JgjYnWEbbXI,,,,
"2211004 Fungicides, Insecticides & Sprays",GeLsHQnBJSl,,,,
2211005 Chemicals & Industrial Gases,Anntg74AWAc,,,,
"2211008 Lab Materials, Supplies & Small Equipment",NAWDpCTju9c,,,,
2211009 Education & Library Supplies,uIKFwsGjL8l,,,,
2211011 Purchase/Production of Photographic & Audio Visual Materials,zfE43ojuX27,,,,
2211015 Food & Rations,Jm0j7eIJw22,,,,
2211016 Staff Uniforms and Clothing,Kvrh6Edh4ux,,,,
2211019 Patients Uniforms and Clothing,kZVa4Dfz3oW,,,,
2211020 Staff Uniforms and Clothing Allowances,ozuOGiiROjR,,,,
2211021 Purchase of Bedding & Linen,zq5cC1mHOjZ,,,,
2211022 Supplies for Production,kkKxlgb0SIK,,,,
2211023 Supplies for Production,ChuFUyaFoat,,,,
2211026 Purchase of Vaccines & Sera,Ta4fC50ws12,,,,
2211028 Purchase of X-Rays Supplies,pMp1v17OVlZ,,,,
2211100 General Office Supplies & Services,ktAiKqEgewS,,,,
"2211101 General Office Supplies (paper, pencils, forms, small office equipment, etc)",eWJI88NUHju,,,,
2211102 Supplies & Accessories for Computers & Printers,ZL5umjFvNZT,,,,
2211103 Sanitary & Cleaning Materials,kMyKJqs4tP6,,,,
2211200 Fuel & Lubricants,JfMlkDb7sfP,,,,
2211201 Refined Fuels & Lubricants for Transport,ERUP9jd5kr8,,,,
2211202 Refined Fuels & Lubricants for Production,VE7bP4Hd0Y8,,,,
2211300 Other Operating Expenses,G10FiANc4uK,,,,
2211301 Bank changes,dPRTEEcXbSy,,,,
2211301 Bank Service Commission & Charges,jER1yfrClYQ,,,,
2211305 Contracted Guards & Cleaning Services,zmTKl26bqXb,,,,
"2211307 Transport Costs & Charges (freight, loading/unloading, clearing & shipping charges)",JqVPN31hItf,,,,
2211310 Contracted Professional Services,FNaQfndi92d,,,,
2211311 Contracted Technical Services,pwYhMY7SObK,,,,
2211399 Total Other Operating Expenses,Y6uJakxkzDC,,,,
2220100 M/Vehicle & Other Transp Equip Repair & Maint,T6Zosl4H5TG,,,,
2220101 Maintenance Expenses – Motor Vehicles,W53qF6leiPm,,,,
2220102 Maintenance Expenses – Boats & Ferries,MxceLE1Wgwj,,,,
2220199 Total M/Vehic & Other Transp Equip Repair & Maint,fORxLUrFSaD,,,,
2220200 Other Assets Repairs & Routine Maintenance,HGfobnG3qSX,,,,
"2220201 Maintenance of Plant, Machinery & Equipment (including lifts)",WypNzlF1rxb,,,,
2220202 Maintenance of Office Furniture & Fittings,kltZozM5rkg,,,,
2220205 Maintenance of Buildings & Stations (non-residential),SWHhf1eE89t,,,,
"2220210 Maintenance of Computers, Software & Networks",qLWHhVTIp0l,,,,
2220299 Total Other Assets Repairs & Routine Maintenance,fxTJs6WIZ9K,,,,
2.2.6  Power supply and lighting is available at all times,TeZbMKStgcR,,,,
2.2 All vacancies/positions are filled as required,CDBJwRwYOW0,,,,
2.2 MOH 706_OGTT,i3RlO4WRH1q,,,,
2.2 MOH 706_OGTT High,KbuPt8F5BL9,,,,
2.2 MOH 706_OGTT Low,wFnVa14Gbvb,,,,
2.2 MOH 706_OGTT Total,iurCetYzazS,,,,
2.2 No. of water points  licensed/ commissioned,v8ujI55wBUp,,,,
22. Number on ART,al6yickJqm2,,,,
2.3 All employees know their job descriptions.,IXP3ZlZVyNA,,,,
2.3 No. of water points inspected,MKRPNk1zEEd,,,,
23. Number on CPT,cNsmCOqT5MX,,,,
2.4 No. of water points with samples taken,frV9qtONIpg,,,,
24. Results at 2 months ,irWnGTjEft5,,,,
2.4 Staff are appraised on an annual basis,bRGVHcn7Cvv,,,,
2.5 Continuous professional development programme available,MYeuz0a2PQN,,,,
2.5 No. of premises served with intimation notices,sqgMXvby1jb,,,,
25. Results at 5 months,T9BoPR7Y9jj,,,,
2.6 No. of previous intimation notices complied,Tunh7MBRsOn,,,,
2.6 Regular updates by senior medical staff / supervisors on Standards and Guidelines are done,btOeglNWdzk,,,,
27. Results at 8 months -HIV +,wgjaV60n3mD,,,,
2.7 Staff are involved and participate in quality assessment and improvement,yyV0Azqpkh3,,,,
2.8.1 Medical Staff safety programmes are regularly assessed and improved.,s0h4FpByito,,,,
2.8.2 Safety measures and guidelines for non medical departments are in place and known to all staff,S4LLn8h4ins,,,,
28. Results at 8 months HIV-,qSn3rSt2MXd,,,,
2.9 Efforts to improve staff motivation are demonstrated,Nn7ZazqKUbV,,,,
29. Results at 8 months HIV Test Not Done,qgdtO92N59g,,,,
2. Action points by facility ,UJaz6ENZGvb,,,,
2nd delay - Lack of communication / transport from home to health care facility,iBUti3kpWsZ,,,,
2nd delay - Lack of transport between health care facilities,lndYgVJv58h,,,,
2nd delay - Long distances / poor roads,xaa1SS9puMM,,,,
"2nd delay - Other, specify",LRGDw6JkiG9,,,,
2nd Dose Tetanus Toxoid for pregnant  women (Health Facility),S6O7oxtiHe6,,,,
2nd Dose Tetanus Toxoid for pregnant  women (Outreach),AkMQnju3g7m,,,,
2nd visit,PNUtCLHwGzr,,,,
2. Number MDR-TB tested for HIV,qgh5VZTdydJ,,,,
2. Number tested for HIV,CQVzChlE9qw,,,,
2. Relapse (R ),qXOFZWUV0WN,,,,
2. Responsible Person ,NMyu9t8Dcz2,,,,
2. Results at 5 months ,z5BbqLoYjpf,,,,
2. Timeframe,WTxmOeDBEVE,,,,
3000000 EXPENDITURE,pSAn37OHdRt,,,,
30. Number on CPT,UE2XWmbf5hv,,,,
3110500 Construction & Civil Works,s2Ha3e0xwwp,,,,
3110502 Water Supplies & Sewerage,RMsgMQj2SBM,,,,
3110599 Other Infrastructure & Civil Works,X3nuiSHRJJP,,,,
3110699 Total Construction & Civil Works,DKoUZ8OemCa,,,,
3110700 Purchase of Vehicles & Other Transport Equipment,bDSQEZM3rtd,,,,
3110701 Purchase of Bicycles & Motor Vehicles,dvo26Xu2g3G,,,,
3110704 Purchase of Bicycles & Motorcycles,ksAM140tLvc,,,,
3110799 Total Purchase of Vehicle & Other Transport Equip,NZhsAhX4lSg,,,,
3111000 Purchase of Office Furniture & General Equipment,mYIZtgEPa5S,,,,
3111001 Purchase of Office Furniture & Fittings,RWwJcCEIcZw,,,,
"3111002 Purchase of Computers, Printers & Other IT  Equipment",u9TiVtfs3or,,,,
"3111003 Air-conditioners, Fans & Heating Appliances",BsyP5AnR1pE,,,,
"3111003 Airconditioners, Fans & Heating Appliances",AXTZqV8968Z,,,,
3111100 Purchase of Specialised Plant Equip & Machinery,p4Vk0aCXUKj,,,,
3111101 Purchase of Medical & Medical Equipment,ZysDicYyDxN,,,,
3111102 Purchase of Boilers Refrig & Aircondition Plant,aLt2Db8y8VE,,,,
"3111102 Purchase of Boilers, Refrigeration & Air-conditioning Plant",Mnz4Ts6dMVo,,,,
3111199 Total Purchase of Specialised Plant Equip & Mach,GwOs0L5VXxZ,,,,
3.1 Cereals/Pulses,gVafPHVovMu,,,,
3.1 Health workers are familiar with Health Sector planning documents,NEk6hageG3f,,,,
31. Number on ART,mFHpgiiqnAN,,,,
3.2 Oils and Fats,IXQTRtjlKYI,,,,
3.2 Standards and guidelines for the six priority PHC packages available.,tfQaOkwDcl8,,,,
3.3 Alcoholic beverages,goJf79GdAfO,,,,
3.3 Culture for acquisition and use of Standards and guidelines is demonstrated.,KF1CNElpHXN,,,,
33. Results at 2 months ,aexzYiW8uU0,,,,
33. Results at 5 months ,YgaJWEC1DPy,,,,
3.4 Non-alcoholic beverages,ki4Icb6Zoin,,,,
3.4 Timely implementation of the Facility health plan.,D4M0ujydBo2,,,,
3.5 Facility’s Health Plan is evidence-based.,jd960cIz7x7,,,,
3.5 Fruits and Vegetables,j8740ka4Bxs,,,,
35. Results at 8 months -HIV +,R53RKfALfD6,,,,
3.6 Other,b63PiU0q1Mt,,,,
36. Results at 8 months HIV-,XReCk15IGJe,,,,
37. Results at 8 months HIV Test Not Done,PGz6b9eY0bK,,,,
38. Number on CPT,Na9WfarZJMi,,,,
39. Number on ART,qpALUW4oVNR,,,,
3. Action points by facility ,RrKNyT7cfYr,,,,
3. Number HIV +,Vri74blSuoL,,,,
3. Number MDR-TB tested HIV+,PZxFOwfXC1u,,,,
3rd delay -Lack of blood for transfusion,lVDQaByuTCR,,,,
"3rd delay - Lack of emergency/essential drugs (e.g. antibiotics, oxytocics, anticonvulsants)",FwnjKC1uAys,,,,
3rd delay - Lack of expertise,jWhKQp8lcUe,,,,
3rd delay - Lack of skilled human resources,EMclLIQM1fR,,,,
3rd delay - Lack of skills,oQF2UmIMnpQ,,,,
"3rd delay - Other, specify",cwqbUnac5Sb,,,,
3rd visit,f9dpfgsYGdB,,,,
3. Responsible Person ,GKVuZHFMfXP,,,,
3. Results at 8 months,BKxlVvRo73I,,,,
3. Return After Default (RAD),ln66sDexuU6,,,,
3. Timeframe,zySi8SJxL9o,,,,
40. Results at 2 months,WxIvaT6Id1O,,,,
4.1.1 Facility complies with Kenyan Health Laws and Regulations,ksIvl6eKbpt,,,,
4.1.2 Facility is licensed to operate and physical address registered,cmsFxDzcyQ0,,,,
41. Results at 5 months,OZR2KNFoqdH,,,,
4.1 Total butcheries (as per field register),TMbLH7Aitam,,,,
4.2.1 Health facility is kept clean at all times,Y7git2xaist,,,,
4.2.2 Safe water is available at all times,F9ADFwc3XS4,,,,
4.2.3 Toilets and latrines for patients and staff are kept clean and of acceptable standards at all times,Y3t3NjECVZ0,,,,
4.2.4 Availability of a functional waste disposal and management system,zVQGk8nWQNh,,,,
4.2.5 Functional incinerator is in place,ROm5QZ3Tv9Y,,,,
4.2.6 Functional drainage system in place,ij8dMy10UcB,,,,
4.2 No. of premises licensed,Oj0cJ0DRY7L,,,,
42. Results at 8 months,J95kEUq50IB,,,,
42. Results at 8 months HIV +,mUKkTPK1mDo,,,,
"4.2  Sanitation, Drainage and Health Safety",MJJ0HzDCU84,,,,
4.3.2 Adequate security and safety measures to protect the facility in place,Rh0WNOYZDFC,,,,
4.3.3 The health facility and all storage facilities are lockable.,b87aO8t3vMu,,,,
4.3.4 Emergency management procedures in place and known,ZzeTR7BYvEf,,,,
4.3 No. of premises inspected,cE3VJMQgrrv,,,,
43. Results at 8 months HIV-,UI4QCeLOsur,,,,
4.4.1 Buildings are planned and managed to support PHC programmes.,JHuAOC8m4ov,,,,
4.4.2 Pest control measures in place,hVs9372PKdn,,,,
4.4.3 Facility compound is well maintained,iHrcFooJYac,,,,
4.4.4 Signages for directions are available,Gb1ChPxEGNI,,,,
4.4 Maintenance,t7Vai4sD3xl,,,,
44. Results at 8 months HIV Test Not Done,F9bGgovkYMw,,,,
4.4 Total food animals inspected,hf3AnPjTeHT,,,,
4.5.1 Infection prevention programme in place,nuF5qHygnGV,,,,
4.5.2  Standards for management of a hygienic kitchen (where applicable) are available and adhered to,qXl8QdaxsXa,,,,
4.5.3  Adequate and properly managed laundry facilities,z1RrNd2vD2z,,,,
4.5.4 Adequate and properly managed mortuary where applicable,tGKMfgeHPbX,,,,
45. Number on CPT,MdsNBekNPS5,,,,
4.5 Total food animals seized/condemned,rGI7mlnYvaN,,,,
46. Number on ART,rJY3kJkg5eR,,,,
47. Results at 2 months ,ZCQDVsp0LtW,,,,
48. Results at 8 months,LCBBFYCHPZn,,,,
4999999 Total Expenditure,eGQDbpSIkDa,,,,
49. Results at 8 months HIV +,z0NELWBteEY,,,,
4. All New PTB+,mYcTFL89KEW,,,,
4. Previously treated with first-line drugs only (FFT),lhaVWQLFzqt,,,,
4. Results at 8 months -HIV +,YggsnKT450t,,,,
4th visit,ClGtVTu7QUe,,,,
50. Results at 8 months HIV-,YtY4ei58Sru,,,,
5.1.1 Supplies are be planned and managed in support of MOH/Facility policy and strategy,m1NepVSeJBR,,,,
"5.1.2 Availability of drugs, generics and brands, approved for use at designated facility level.",k3iLe8xSimt,,,,
"5.1.3 Guidelines for management of drugs are in place, known and adhered to",EumfDRTu79s,,,,
"5.1.4 Guidelines on rational drug use in place, known and adhered to.",HJ1aT5dhvrJ,,,,
5.1.5 Adequate availability of non-pharmaceutical supplies,acn1cD8Nyqj,,,,
5.1 No. of food handlers (as per field register),ohawYpT3iD2,,,,
51. Results at 8 months HIV Test Not Done,BxoUhw600kL,,,,
5.2 Kitchen supplies are managed according to the set guidelines,DmHo87aIkob,,,,
5.2 No. of food handlers medically examination,d5tRjWfZBWH,,,,
52. Number on ART,fbXmQiDlfx2,,,,
52. Number on CPT,TAmz6Un0oA0,,,,
5.3 Basic offce supplies and consumables shall be available in sufficient quantities.,G4dLNtHk5oW,,,,
5.3 No. foodhandlers confirmed fit,CUwvv93JCAl,,,,
53. Number on ART,InmXPTyx7I1,,,,
5.4 No. foodhandlers put on treatment,LkmAnnj604D,,,,
5.4 Other supplies including detergents etc are available in suffcient quantities,UYwDSa0FR59,,,,
54. Results at 2 months,wm0aJxUGXls,,,,
55. Result at 8th months,QBbFPL3jIEm,,,,
56. Results at 8 months HIV +,gyLd4hbL6hr,,,,
57. Results at 8 months HIV-,TiFLLuz3Ozu,,,,
58. Results at 8 months HIV Test Not Done,ZD5lZ3R9mRd,,,,
59. Number on CPT,AdF2qejgzGE,,,,
5. Number tested for HIV (PTB+),NNkcO5xJ4D8,,,,
5. Previously treated with both first- and second-line drugs (FRT),mperXkYPKId,,,,
5. Results at 8 months HIV-,vvFDd2CF9PI,,,,
5th visit,nd3f3LqZ8lV,,,,
60. Number on ART,BV92GAW9CxU,,,,
60. Results at 2 months ,ZSud9leNFPz,,,,
6.1.1 Accident and Emergency Department,D0jQkDw6tXo,,,,
6.1.2 Specialists clinics,ldVcYFTKfES,,,,
6.1.3 Comprehensive care Centre,hHgQvFNkq8b,,,,
6.1.4 Rehabilitative clinics,VNIL0niztal,,,,
61. Results at 8 months,ocntLtiqgYT,,,,
6.1 Total facilities (as per field register),nDLH2qrtWmU,,,,
6.2 All wards,mnJVw3xPyZb,,,,
6.2 Approximate population served,VQaB6je2XNX,,,,
62. Results at 8 months HIV +,knzwCWAByZ3,,,,
6.3 Laboratory,z8iJ5nJYJeJ,,,,
6.3 No.  inspected,Eaw36sbkxb8,,,,
63. Results at 8 months HIV-,A9hL439kBTq,,,,
6.4 No. licensed,Kp5bKqcOu3Q,,,,
64. Results at 8 months HIV Test Not Done,uXy1tmb9rAn,,,,
6. 4 Sterilization Department,HtkfuPWCSex,,,,
6570109 Bank Account Balance,MznPWk9qAwQ,,,,
6570109 Bank Account Balance ,fKvHjy58Hoe,,,,
6580101 Cash-in-Hand Balance,v39gJQo67T2,,,,
6580101 Cash-in-Hand Balance ,OheXXPgAdBi,,,,
6.5 Administration,LANJpqc7UD5,,,,
